,,Base,Base,Base,Random Sampling,Random Sampling,Random Sampling,SMOTE Sampling,SMOTE Sampling,SMOTE Sampling,Min Max Scaler,Min Max Scaler,Min Max Scaler,Standard Scaler,Standard Scaler,Standard Scaler,Min Max Scaler (Log),Min Max Scaler (Log),Min Max Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Feature Selection,Feature Selection,Feature Selection,Grid Search CV,Grid Search CV,Grid Search CV
,,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree
2,f1-score,0.2501170960187354,0.0,0.43834664814171587,0.4415248761576567,0.0,0.5798112433319655,0.8975088674420523,0.0,0.8569928758905137,0.0026127553861309805,0.0,0.39283660640319673,0.0,0.0,0.4012821471127507,0.0,0.0,0.08267978200186096,0.0,0.0,0.08323765786452354,0.5671641791044776,0,0.42996408414571574,0.9397964355097559,0,0
2,support,2779.0,2779.0,2779.0,2412.0,2412.0,2412.0,46441.0,46441.0,46441.0,46441.0,46441.0,46441.0,46441.0,46441.0,46441.0,2779.0,2779.0,2779.0,2779.0,2779.0,2779.0,2779.0,0,2779.0,46441.0,0,0
3,precision,0.9051748941592338,0.8504722427270834,0.9372709919476929,0.6405908096280087,0.2644944896981313,0.6117281208351844,0.9558117195004803,0.2659055073234674,0.9007501182618881,0.24794896658422583,0.0,0.2847952122685618,0.2480678645726666,0.0,0.35008665511265163,0.8504311135571455,0.8425398113398925,0.8604428867293293,0.8504366011153508,0.8443455138793763,0.8582630604689429,0.9320023268375784,0,0.9364618397025499,0.9545674941815361,0,0
3,recall,0.9500636338143619,0.969240061261028,0.9214607735283332,0.4844848986346711,0.9135291683905669,0.5697145221348779,0.7133546242586196,0.9122726976471355,0.8687349279801864,0.9888331269417107,0.0,0.16541745421364792,0.9999782745660345,0.0,0.004388537661039779,0.9999568584309412,0.8958993938609547,0.5825190362173472,1.0,0.9041394335511983,0.7200974999460731,0.9676869647749089,0,0.9181604434953299,0.8554172369593083,0,0
3,f1-score,0.9270762074155151,0.9059803209936285,0.9292986425339367,0.5517078916372202,0.4102183000464468,0.589974293059126,0.8169739493916548,0.4117854726251066,0.8844528986308642,0.3964807595984233,0.0,0.20927931394645705,0.39752132138616,0.0,0.008668411792473072,0.9191525642169547,0.8684006941685659,0.6947159909446388,0.9191739945078368,0.8732200706242643,0.7831329540789397,0.9495094874752628,0,0.9272208425913824,0.902276659371885,0,0
3,support,46359.0,46359.0,46359.0,2417.0,2417.0,2417.0,46029.0,46029.0,46029.0,46029.0,46029.0,46029.0,46029.0,46029.0,46029.0,46359.0,46359.0,46359.0,46359.0,46359.0,46359.0,46359.0,0,46359.0,46029.0,0,0
all,accuracy,0.8487305547402407,0.8258915468153801,0.8611498385676548,0.5011224489795918,0.28285714285714286,0.6006122448979592,0.8844605409950039,0.28403046128474185,0.8680442152123182,0.24831983271084954,0.2502762103402372,0.2583388575401381,0.24806652761833928,0.2502762103402372,0.25100378879744756,0.8503999119459935,0.7643454652186674,0.5178676254769592,0.8504366011153508,0.7716832990901086,0.6295127678309363,0.90165468153801,0,0.8564719694746111,0.9339897707858387,0,0
macro avg,precision,0.5048310977110363,0.22572109820410557,0.5886186364157248,0.510677142025055,0.16323106044106173,0.6006453936022118,0.8901696775672449,0.16338191429015025,0.8684950337933067,0.26610925965991666,0.0625690525850593,0.21024819279775242,0.06201696614316665,0.0625690525850593,0.24310541734788654,0.21260777838928638,0.21700834750624015,0.25534547747178193,0.2126091502788377,0.21883791851091183,0.25367094368552867,0.7385647919842563,0,0.5754771433264306,0.9347356359248867,0,0
macro avg,recall,0.44142892633611475,0.25027814280529687,0.6190426067193444,0.5004232965645996,0.285077105125386,0.6002819894508058,0.8840274261275158,0.28572569626888367,0.8680542610158503,0.25021560847317925,0.25,0.25840365625887396,0.24999456864150862,0.25,0.2507196875578193,0.2499892146077353,0.23601758660359434,0.25799530500113355,0.25,0.23970744078548156,0.26418498821350445,0.636655093391481,0,0.6087641441872116,0.9337918564589407,0,0
macro avg,f1-score,0.46445256260453827,0.23640499015831704,0.6029912385907656,0.5007208594075638,0.1741463495736833,0.6002173165781172,0.8816004091952603,0.17524479662741127,0.8681785375187479,0.1050266106122404,0.10008836778239973,0.15066822005142527,0.09938033034654,0.10008836778239973,0.10987363572999807,0.22978814105423867,0.22543559595377347,0.23127020700610781,0.2297934986269592,0.22819887167257769,0.2420760950770558,0.6796723697992387,0,0.591088388297959,0.9333818992665199,0,0
macro avg,support,54512.0,54512.0,54512.0,9800.0,9800.0,9800.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,0,54512.0,185547.0,0,0
weighted avg,precision,0.8254701290615639,0.7259273673132801,0.8677693629090092,0.5101583669225132,0.16380693622334827,0.6007751962071173,0.8899949745561494,0.1629762916712676,0.8684064297261972,0.26617661308256996,0.06263818146227067,0.21018432054704908,0.06153867073256518,0.06263818146227067,0.2428062220593529,0.7232377456962816,0.7178179278811189,0.7397580020073448,0.7232424125166302,0.719632772346411,0.7377756869854365,0.8934468800836368,0,0.8645076690347819,0.934683408229689,0,0
weighted avg,recall,0.8487305547402407,0.8258915468153801,0.8611498385676548,0.5011224489795918,0.28285714285714286,0.6006122448979592,0.8844605409950039,0.28403046128474185,0.8680442152123182,0.24831983271084954,0.2502762103402372,0.2583388575401381,0.24806652761833928,0.2502762103402372,0.25100378879744756,0.8503999119459935,0.7643454652186674,0.5178676254769592,0.8504366011153508,0.7716832990901086,0.6295127678309363,0.90165468153801,0,0.8564719694746111,0.9339897707858387,0,0
weighted avg,f1-score,0.8349222569601501,0.7724865487596982,0.8642397897709765,0.5008206802994516,0.17384618413834185,0.6004494411032967,0.8817607318385559,0.17453071838850118,0.8681297257442994,0.10428325439674926,0.1001989495508756,0.15038032644202556,0.09861387627977579,0.1001989495508756,0.10998416652836589,0.7816809826191261,0.7402084712737491,0.6022819930641433,0.7816992077228648,0.7446227798985292,0.6754034409715353,0.8956908892885628,0,0.86021294906724,0.933459497267392,0,0
weighted avg,support,54512.0,54512.0,54512.0,9800.0,9800.0,9800.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,185547.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,54512.0,0,54512.0,185547.0,0,0
